"Apart","pps"
"동부센트레빌",1461
"동부센트레빌",1351
"동부센트레빌",1502
"동부센트레빌",1462
"동부센트레빌",1585
"동부센트레빌",1399
"동부센트레빌",1486
"동부센트레빌",1520
"래미안 대치 하이스턴",1178
"래미안대치팰리스",1659
"래미안대치팰리스",1665
"래미안대치팰리스",1649
"래미안대치팰리스",1741
"래미안대치팰리스",1656
"래미안대치팰리스",1693
"래미안대치팰리스",1825
"래미안대치팰리스",1652
"래미안대치팰리스",1814
"롯데캐슬",913
"롯데캐슬",878
"롯데캐슬",979
"롯데캐슬리베",1065
"롯데캐슬리베",1090
"상지리츠빌카일룸(1009-4)",1852
"선경1차(1동-7동)",1274
"선경1차(1동-7동)",1220
"선경1차(1동-7동)",1359
"선경1차(1동-7동)",1273
"선경1차(1동-7동)",1600
"선경1차(1동-7동)",1354
"선경1차(1동-7동)",1609
"선경2차(8동-12동)",1409
"선경2차(8동-12동)",1415
"선경3차",1080
"선경3차",1064
"선경3차",1132
"선경3차",1168
"선릉역 풍림아이원레몬",652
"선릉역 풍림아이원레몬",715
"선릉역대우아이빌(890-49)",779
"선릉역대우아이빌(890-49)",810
"선릉역대우아이빌(890-49)",828
"선릉역대우아이빌(890-49)",812
"선릉역대우아이빌(890-49)",822
"세영팔레스타운",854
"세영팔레스타운",882
"쌍용대치2",1397
"쌍용대치아파트1동, 2동, 3동, 5동, 6동",1281
"쌍용대치아파트1동, 2동, 3동, 5동, 6동",1168
"쌍용대치아파트1동, 2동, 3동, 5동, 6동",1364
"쌍용대치아파트1동, 2동, 3동, 5동, 6동",1211
"쌍용대치아파트1동, 2동, 3동, 5동, 6동",1376
"아름빌(889-74)",706
"월드빌",681
"은마",1205
"은마",1279
"은마",1172
"은마",1211
"은마",1146
"은마",1321
"은마",1237
"은마",1303
"은마",1289
"은마",1297
"은마",1192
"은마",1244
"은마",1235
"은마",1159
"은마",1309
"은마",1250
"은마",1231
"은마",1185
"은마",1338
"은마",1222
"은마",1257
"은마",1166
"은마",1291
"은마",1270
"은마",1263
"은마",1327
"은마",1336
"은마",1356
"은마",1368
"은마",1362
"은마",1302
"은마",1299
"은마",1301
"은마",1310
"은마",1315
"은마",1398
"은마",1374
"은마",1328
"은마",1371
"은마",1300
"은마",1267
"은마",1261
"은마",1335
"은마",1389
"은마",1396
"은마",1324
"은마",1341
"테헤란로대우아이빌(891-6)",867
"테헤란로대우아이빌(891-6)",897
"테헤란로대우아이빌(891-6)",906
"포스코더샵",971
"포스코더샵",964
"포스코더샵",1007
"포스코더샵",953
"풍림아이원2차202동",570
"풍림아이원3차(1007-1)",856
"한보미도맨션1",1432
"한보미도맨션1",1177
"한보미도맨션1",1273
"한보미도맨션1",1230
"한보미도맨션1",1244
"한보미도맨션1",1296
"한보미도맨션1",1361
"한보미도맨션1",1289
"한보미도맨션1",1420
"한보미도맨션1",1438
"한보미도맨션1",1468
"한보미도맨션1",1497
"한보미도맨션1",1539
"한보미도맨션1",1208
"한보미도맨션1",1281
"한보미도맨션1",1266
"한보미도맨션1",1398
"한보미도맨션1",1203
"한보미도맨션1",1305
"한보미도맨션1",1320
"한보미도맨션2",1342
"한보미도맨션2",1164
"한보미도맨션2",1234
"한보미도맨션2",1249
"한보미도맨션2",1260
"한보미도맨션2",1168
"한보미도맨션2",1247
"한보미도맨션2",1377
"한보미도맨션2",1265
"한보미도맨션2",1273
"한보미도맨션2",1243
"한보미도맨션2",1412
"한보미도맨션2",1272
"한보미도맨션2",1251
"한보미도맨션2",1290
"한보미도맨션2",1267
"한보미도맨션2",1471
"한보미도맨션2",1371
"한보미도맨션2",1306
"한보미도맨션2",1203
"현대1",925
"현대1",914
"현대1",937
"SK허브프리모",888
"SK허브프리모",799
"SK허브프리모",969
"SK허브프리모",860
"SK허브프리모",946
"SK허브프리모",852
"SK허브프리모",815
"SK허브프리모",784
"경남",1037
"경남",1054
"경남",945
"경남",942
"대림",906
"대림",877
"대림",872
"대림아크로빌",843
"대림아크로빌",858
"대림아크로빌",804
"대림아크로빌",889
"대명비발디",643
"대우디오빌",830
"대우디오빌",848
"도곡1차아이파크",1021
"도곡1차아이파크",998
"도곡1차아이파크",1165
"도곡2차 I-PARK",846
"도곡렉슬",1334
"도곡렉슬",1261
"도곡렉슬",1475
"도곡렉슬",1365
"도곡렉슬",1258
"도곡렉슬",1290
"도곡렉슬",1359
"도곡렉슬",1275
"도곡렉슬",1412
"도곡렉슬",1378
"도곡렉슬",1143
"도곡렉슬",1267
"도곡렉슬",1209
"도곡렉슬",1217
"도곡렉슬",1254
"도곡렉슬",1250
"도곡렉슬",1305
"도곡렉슬",1284
"도곡렉슬",1371
"도곡렉슬",1394
"도곡렉슬",1297
"도곡렉슬",1470
"도곡렉슬",1402
"도곡렉슬",1136
"도곡렉슬",1461
"도곡렉슬",1282
"도곡렉슬",1158
"도곡렉슬",1500
"도곡렉슬",1529
"도곡렉슬",1410
"도곡렉슬",1452
"도곡렉슬",1292
"도곡렉슬",1386
"도곡렉슬",1408
"도곡렉슬",1322
"도곡렉슬",1155
"도곡렉슬",1388
"도곡렉슬",1424
"도곡렉슬",1126
"도곡렉슬",1400
"도곡렉슬",1268
"도곡스타빌",692
"도곡스타클래스",713
"도곡쌍용예가",837
"도곡쌍용예가",883
"래미안도곡카운티",1183
"럭키(462)",1045
"럭키(462)",1055
"럭키(963)",989
"럭키(963)",930
"럭키(963)",918
"럭키(963)",983
"매봉삼성",859
"매봉삼성",1000
"벨라빌",580
"삼성",1226
"삼성",1115
"삼성",1277
"삼성",1117
"삼성",1168
"삼성",1254
"삼성래미안",1326
"삼성래미안",1171
"삼성래미안",1107
"삼성래미안",1301
"삼성래미안",1059
"삼성래미안",1268
"삼성래미안",1173
"삼성래미안",1166
"삼익",808
"삼익",747
"삼익",798
"삼익",748
"아카데미스위트1",823
"아카데미스위트1",904
"역삼우성",899
"역삼우성",911
"역삼우성",918
"역삼우성",943
"역삼우성",949
"우성4",1377
"우성4",1218
"우성리빙텔",647
"우성사원5",1121
"우성사원5",1123
"우성캐릭터199",771
"우성캐릭터199",767
"우성캐릭터199",801
"조이너스 도곡",724
"중명하니빌",660
"타워팰리스1",1485
"타워팰리스1",1452
"타워팰리스1",1384
"타워팰리스1",1239
"타워팰리스1",1283
"타워팰리스1",1091
"타워팰리스1",1151
"타워팰리스1",1202
"타워팰리스1",1282
"타워팰리스1",1517
"타워팰리스1",1563
"타워팰리스2",1176
"타워팰리스2",1292
"타워팰리스2",2188
"타워팰리스2",1092
"타워팰리스2",1297
"타워팰리스2",1271
"타워팰리스3",1310
"타워팰리스3",1477
"타워팰리스3",1344
"타워팰리스3",1203
"타워팰리스3",1508
"타워팰리스3",1314
"타워팰리스3",1482
"한신(개포)",1517
"한신(개포)",1464
"한신(개포)",1401
"한신(개포)",1508
"한신(개포)",1498
"한신(개포)",1514
"한신(개포)",1510
"한신엠비씨",1069
"한신엠비씨",919
"한신엠비씨",932
"한신엠비씨",1061
"한신엠비씨",962
"한신엠비씨",1120
"현대그린1",871
"현대그린1",881
"현대그린1",864
"현대그린1",872
"현대그린1",862
"현대그린1",883
"현대그린1",880
"현대그린1",812
"현대그린1",895
"현대비젼21",761
"현대비젼21",772
"현대비젼21",757
"현대아파트 1동~3동",777
"현대아파트 1동~3동",842
"힐데스하임빌라",1174
"LG선릉에클라트(A)",672
"LG선릉에클라트(A)",747
"LG선릉에클라트(A)",774
"LG선릉에클라트(B)",901
"LG선릉에클라트(B)",912
"LG선릉에클라트(B)",917
"LG선릉에클라트(B)",853
"LG선릉에클라트(B)",795
"대우멤버스카운티",786
"대우멤버스카운티(101동)",820
"동구싼타빌",802
"래미안(201동)",1216
"래미안삼성1차",1147
"래미안삼성1차",1116
"래미안삼성1차",1139
"래미안삼성1차",1131
"래미안삼성2차",1311
"래미안삼성2차",1175
"래미안삼성2차",1325
"래미안삼성2차",1223
"래미안삼성2차",1262
"롯데캐슬프레미어",1249
"롯데캐슬프레미어",1148
"롯데캐슬프레미어",1243
"롯데캐슬프레미어",1362
"롯데캐슬프레미어",1263
"롯데캐슬프레미어",1236
"롯데캐슬프레미어",1226
"롯데캐슬프레미어",1294
"미켈란107",1078
"미켈란107",1082
"미켈란147",1109
"미켈란147",1049
"블루밍하우스",840
"삼부아파트 102동",984
"삼부아파트(101동)",1111
"삼성동롯데아파트",1246
"삼성동롯데아파트",1060
"삼성동롯데아파트",1166
"삼성동롯데아파트",1139
"삼성동브라운스톤레전드",1074
"삼성동브라운스톤레전드",955
"삼성동브라운스톤레전드",1030
"삼성동상지리츠빌카일룸",1767
"삼성동상지리츠빌카일룸",1598
"삼성동에스케이뷰",898
"삼성동중앙하이츠빌리지",1059
"삼성동중앙하이츠빌리지",1098
"삼성동중앙하이츠빌리지",1092
"삼성동중앙하이츠빌리지",1485
"삼성동한솔아파트",994
"삼성동힐스테이트 1단지",1365
"삼성동힐스테이트 1단지",1911
"삼성동힐스테이트 1단지",1260
"삼성동힐스테이트 1단지",2070
"삼성동힐스테이트 1단지",1363
"삼성동힐스테이트 1단지",1315
"삼성동힐스테이트 1단지",1219
"삼성동힐스테이트 1단지",1318
"삼성동힐스테이트 1단지",1256
"삼성동힐스테이트 1단지",1310
"삼성동힐스테이트 1단지",1340
"삼성동힐스테이트 1단지",1341
"삼성동힐스테이트 1단지",1448
"삼성동힐스테이트 1단지",1389
"삼성동힐스테이트 1단지",1059
"삼성동힐스테이트 1단지",1357
"삼성웰피아",687
"삼성풍림2차아파트",1056
"상아빌라트",484
"상아아파트",1210
"상아아파트",1169
"상아아파트",1216
"상아아파트",1179
"상아아파트",1164
"상아아파트",1190
"상아아파트",1099
"상아아파트",1218
"서광아파트",1013
"서광아파트",1024
"서광아파트",1026
"서광아파트",987
"서광아파트",995
"서광아파트",1048
"서광아파트",1285
"서광아파트",1060
"서광아파트",1007
"서광아파트",1173
"서광아파트",1059
"석탑아파트101동",981
"석탑아파트101동",1010
"석탑아파트101동",946
"석탑아파트101동",996
"석탑아파트101동",1082
"쌍용플래티넘",801
"쌍용플래티넘",821
"쌍용플래티넘",814
"아이파크",1810
"아이파크",1620
"아이파크",1930
"아이파크",1613
"아이파크",2585
"아이파크",1897
"영무예다음",817
"우정에쉐르",748
"우정에쉐르2",822
"채널리저브",982
"채널리저브",997
"청구아파트",1021
"청구아파트",1059
"청구아파트",1247
"청구아파트",1024
"청구아파트",1212
"청구아파트",1153
"포스코트",984
"푸른솔아파트1동",1061
"풍림(1차)",1214
"풍림(1차)",1284
"한일",1117
"한일",978
"현대빌라트",565
"현대아파트 101동",1170
"현대타워(13층-27층)",570
"현대힐스테이트 2단지",1446
"현대힐스테이트 2단지",1811
"현대힐스테이트 2단지",1460
"현대힐스테이트 2단지",1336
"현대힐스테이트 2단지",1386
"현대힐스테이트 2단지",1425
"현대힐스테이트 2단지",1472
"현대힐스테이트 2단지",1365
"호산프라자",672
"호산프라자",705
"홍실아파트",1194
"홍실아파트",1249
"강남데시앙파크",777
"강남엘에이치1단지",926
"강남엘에이치1단지",883
"강남엘에이치1단지",925
"강남엘에이치1단지",1002
"강남엘에이치1단지",930
"세곡푸르지오",825
"세곡푸르지오",917
"세곡푸르지오",1002
"세곡푸르지오",896
"세곡푸르지오",884
"세곡푸르지오",923
"세곡푸르지오",937
"세곡푸르지오",662
"강남데시앙포레",1018
"강남데시앙포레",1059
"강남데시앙포레",1055
"까치마을",1035
"까치마을",1071
"까치마을",1074
"까치마을",1066
"까치마을",1081
"까치마을",1060
"까치마을",1073
"까치마을",1100
"까치마을",1087
"까치마을",1111
"까치마을",1103
"까치마을",1051
"까치마을",1091
"까치마을",1028
"까치마을",1068
"까치마을",1125
"까치마을",1156
"까치마을",1080
"까치마을",1078
"까치마을",1061
"까치마을",1147
"까치마을",1104
"까치마을",1086
"까치마을",1123
"동익",841
"동익",852
"동익",856
"삼성",939
"삼성",960
"삼성",883
"삼성",953
"삼성",1179
"삼성",936
"삼성",959
"삼성",942
"삼익",1108
"삼익",1030
"삼익",1098
"삼익",992
"삼익",900
"삼익",1050
"삼익",975
"수서한아름",734
"수서한아름",830
"수서한아름",838
"수서한아름",819
"수서한아름",678
"수서한아름",695
"수서한아름",722
"신동아",1236
"신동아",1148
"신동아",1206
"신동아",1212
"신동아",1159
"신동아",1221
"신동아",1252
"신동아",1202
"신동아",1190
"신동아",1061
"신동아",1177
"신동아",1230
"신동아",1051
"신동아",1101
"신동아",1081
"신동아",1210
"신동아",1215
"Ruden House",782
"금광아크존(635-14)",832
"대성아트빌",740
"로데오현대",926
"신사아이빌",747
"신사파크빌라B동",556
"신성아파트 101동",1022
"압구정대원칸타빌아파트",884
"압구정대원칸타빌아파트",929
"우찬",600
"하야트빌",771
"미성1차",1163
"미성2차",1378
"미성2차",1238
"미성2차",1465
"미성2차",1278
"미성2차",1249
"신현대11차",1393
"신현대11차",1246
"신현대11차",1323
"신현대11차",1445
"신현대11차",1418
"신현대11차",1328
"신현대12차",1357
"신현대12차",1410
"신현대12차",1275
"신현대12차",1308
"신현대12차",1415
"신현대12차",1421
"신현대12차",1318
"신현대12차",1403
"신현대12차",1453
"신현대12차",1386
"신현대9차",1542
"신현대9차",1373
"신현대9차",1350
"신현대9차",1461
"신현대9차",1419
"신현대9차",1445
"신현대9차",1437
"한양1차(영동한양)",1761
"한양1차(영동한양)",1679
"한양1차(영동한양)",1447
"한양1차(영동한양)",1594
"한양1차(영동한양)",1675
"한양1차(영동한양)",1667
"한양1차(영동한양)",1261
"한양1차(영동한양)",1699
"한양1차(영동한양)",1537
"한양1차(영동한양)",1735
"한양1차(영동한양)",1722
"한양1차(영동한양)",1707
"한양1차(영동한양)",1691
"한양1차(영동한양)",1644
"한양1차(영동한양)",1653
"한양2",1137
"한양2",1350
"한양2",1342
"한양3",1308
"한양3",1248
"한양3",1266
"한양4",1306
"한양5",1449
"한양5",1257
"한양5",1537
"한양6",1285
"한양7",1342
"한양7",1410
"한양7",1360
"한양8(81동한개동)",1309
