"도로명","지번","lon","lat"
"서울특별시 동작구 사당로23길 93 (사당동)","서울특별시 동작구 사당동 산24-17 삼일(3~1)공원",126.9739412,37.4862768
"서울특별시 동작구 알마타길 26 (대방동)","서울특별시 동작구 대방동 351-9 공원하우스",126.9273372,37.5077633
"서울특별시 동작구 여의대방로20길 33 (신대방동)","서울특별시 동작구 신대방동 722 보라매공원",126.9197115,37.4932343
"서울특별시 동작구 여의대방로24길 29 (대방동)","서울특별시 동작구 대방동 407-47 참새어린이공원",126.9219444,37.4980556
"서울특별시 동작구 여의대방로36길 71 (대방동)","서울특별시 동작구 대방동 350-5 노량진근린공원",126.9273372,37.5077633
"서울특별시 동작구 장승배기로19라길 51 (상도동)","서울특별시 동작구 상도동 362-46 백로공원",126.9357812,37.5068571
"서울특별시 동작구 현충로 213 (동작동)","서울특별시 동작구 동작동 326 동작주차공원",126.9772942,37.5036663
"서울특별시 관악구 난곡로11길 43 (신림동)[*미고시]","서울특별시 관악구 신림동 685-4 난향공원공중화장실",126.9165649,37.4658104
"서울특별시 관악구 남현3가길 10 (남현동 공원빌라)","서울특별시 관악구 남현동 1083-15 공원빌라",126.9155887,37.4973477
"서울특별시 관악구 남현길 43 (남현동)","서울특별시 관악구 남현동 1083-1 예촌어린이공원 공중화장실",126.9766974,37.4745385
"서울특별시 관악구 문성로16다길 133-17 (신림동)[*미고시]","서울특별시 관악구 신림동 산117-3 선우공원(생태연못)공중화장실",126.9109141,37.471624
"서울특별시 관악구 문성로16다길 133-69 (신림동)","서울특별시 관악구 신림동 산117-23 선우공원 공중화장실",126.9109141,37.471624
"서울특별시 관악구 법원단지5나길 77 (신림동)[*미고시]","서울특별시 관악구 신림동 산124-6 난우공원 공중화장실",126.9140338,37.4802387
"서울특별시 관악구 성현로 99 (봉천동)[*미고시]","서울특별시 관악구 봉천동 1712-6 성현드림공원공중화장실",126.9521079,37.4914491
"서울특별시 관악구 승방3나길 8 (남현동)","서울특별시 관악구 남현동 602-355 공원이 있는 집",126.9806529,37.4729029
"서울특별시 관악구 은천로 97 (봉천동)","서울특별시 관악구 봉천동 498-7 공원빌딩",126.95999,37.4711007
