address,Apart,pps,gu,dong,size,floor,year,long,lat
가마산로 87,한일유앤아이,424,구로구,구로동,84.962,4,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,410,구로구,구로동,84.962,4,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,418,구로구,구로동,84.962,22,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,439,구로구,구로동,84.962,8,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,430,구로구,구로동,84.962,15,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,404,구로구,구로동,114.722,14,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,438,구로구,구로동,74.229,3,10,126.8761513,37.48579325
가마산로 87,한일유앤아이,375,구로구,구로동,114.722,1,10,126.8761513,37.48579325
가마산로 97,현대로얄,321,구로구,구로동,68.63,4,29,126.8770342,37.48621962
가마산로 97,현대로얄,374,구로구,구로동,52.46,6,29,126.8770342,37.48621962
가마산로 97,현대로얄,342,구로구,구로동,68.63,9,29,126.8770342,37.48621962
가마산로19길 30,일동행복세상,321,구로구,구로동,102.67,4,8,126.8846034,37.49452787
가마산로20다길 45,골드마인(나동),383,구로구,구로동,81.36,5,12,126.8887713,37.49278258
가마산로20다길 46,다울숲,522,구로구,구로동,72.74,14,6,126.8887219,37.49262269
가마산로20다길 46,다울숲,439,구로구,구로동,84.32,1,6,126.8887219,37.49262269
가마산로26길 5,로제리움2차,865,구로구,구로동,14.91,14,2,126.8909761,37.49596874
가마산로26길 5,로제리움2차,905,구로구,구로동,14.91,17,2,126.8909761,37.49596874
가마산로27길 11,해담채3,881,구로구,구로동,13.39,15,2,126.8913651,37.49720229
가마산로27길 24,순영웰라이빌1차,471,구로구,구로동,59.5,18,13,126.8915489,37.49805996
가마산로27길 24,순영웰라이빌1차,482,구로구,구로동,59.5,18,13,126.8915489,37.49805996
가마산로27길 24,순영웰라이빌1차,462,구로구,구로동,59.5,16,13,126.8915489,37.49805996
가마산로27길 24,순영웰라이빌1차,487,구로구,구로동,59.5,10,13,126.8915489,37.49805996
