"address","Apart","gu","dong","long","lat","dist_from_univ","dist_from_middleschool","dist_from_bus","dist_from_hospital"
"덕릉로 371","대우그린","도봉구","창동",127.0502539,37.64591163,1.28,0.37,0.04,1.33
"덕릉로 459","상계주공1(고층)","노원구","상계동",127.060269,37.64577678,0.49,0.35,0.08,1.32
"덕릉로 459","미도","노원구","상계동",127.060269,37.64577678,0.49,0.35,0.08,1.32
"덕릉로 517","건영2","노원구","중계동",127.0661412,37.64636303,0.31,0.36,0.07,1.12
"덕릉로 595","신안","노원구","중계동",127.0724141,37.65136983,0.77,0.14,0.01,0.73
"덕릉로 613","중계3우성","노원구","중계동",127.0733871,37.65249896,0.9,0.29,0.04,0.71
"덕릉로 718","건영재건축(586)","노원구","중계동",127.0759332,37.66170594,1.77,0.19,0.16,0.98
"덕릉로 780","동아불암","노원구","상계동",127.0785487,37.66673381,2.36,0.59,0.02,1.53
"덕릉로 872","범하세라믹","노원구","상계동",127.0843652,37.67356479,3.28,1.42,0.35,2.44
"덕릉로109길 27","현대하이츠","노원구","상계동",127.0765299,37.66665399,2.27,0.6,0.12,1.41
"덕릉로112길 24","청암1단지","노원구","상계동",127.0790634,37.66593182,2.31,0.51,0.11,1.5
"덕릉로115다길 40","건영","노원구","상계동",127.078024,37.66871655,2.53,0.81,0.13,1.68
"덕릉로118길 29","불암현대","노원구","상계동",127.0807189,37.66773546,2.56,0.73,0.13,1.74
"덕릉로127길 25","미라보(성림)","노원구","상계동",127.0815303,37.67229292,3.03,1.24,0.18,2.18
"덕릉로41길 12","수유역두산위브1","강북구","번동",127.0314364,37.63580935,0.75,0.23,0.07,0.56
"덕릉로41길 15","수유역두산위브2","강북구","번동",127.0311368,37.63590348,0.75,0.25,0.09,0.54
"덕릉로59가길 21","청하아파트A동","도봉구","창동",127.0381902,37.63963807,1.45,0.51,0.06,0.81
"덕릉로60길 164","창동한승미메이드","도봉구","창동",127.0427202,37.63308703,1.15,0.55,0.06,0.75
"덕릉로60길 185","초안1","노원구","월계동",127.0440359,37.63266736,1.03,0.57,0.03,0.8
"덕릉로60길 222","초안산쌍용스윗닷홈","노원구","월계동",127.044657,37.63105093,0.96,0.39,0.06,0.74
"덕릉로60길 252","유원","노원구","월계동",127.0457002,37.62992888,0.88,0.24,0.05,0.78
"덕릉로60길 266","극동","노원구","월계동",127.0462409,37.62952241,0.85,0.17,0.01,0.82
"덕릉로60바길 21","한신APT","도봉구","창동",127.0411848,37.63891396,1.52,0.69,0.19,1.03
"덕릉로62길 13","신창","도봉구","창동",127.0409735,37.64064381,1.65,0.77,0.1,0.89
"덕릉로63가길 43","대우","도봉구","창동",127.0380471,37.64301429,1.74,0.72,0.04,0.52
