"학교명","주소","lon","lat"
"을지중학교","서울특별시 노원구 덕릉로 580 (중계동) 을지중학교",127.0720135,37.6501096
"중계중학교","서울특별시 노원구 덕릉로76길 23 (중계동)",127.0754735,37.6550962
"중원중학교","서울특별시 노원구 공릉로 420  (중계2,3동 511-3)",127.068715,37.6420907
"중평중학교","서울특별시 노원구 동일로203길 87 (하계동,중평중학교)",127.0623482,37.636861
"창동중학교","서울특별시 도봉구 방학로 32 (방학동,창동중학교) (방학동)",127.0496429,37.6627119
"창북중학교","서울특별시 도봉구 노해로62길 33 , 창북중학교 (창동)",127.0385766,37.6494708
"창일중학교","서울특별시 도봉구 노해로66길 60 , 창일중학교 (창동)",127.0471549,37.6481094
"태랑중학교","서울특별시 노원구 화랑로51나길 51 , 태랑중학교 (공릉동)",127.0916234,37.6264462
"하계중학교","서울특별시 노원구 노원로 261-8 하계중학교 (하계동)",127.0715694,37.6407496
"한천중학교","서울특별시 노원구 공릉로 265 , 한천중학교 (공릉동)",127.072764,37.6309731
"효문중학교","서울특별시 도봉구 우이천로 432 (쌍문동, 효문중 고등학교 )",127.0182409,37.6522473
"광운중학교","서울특별시 노원구 광운로1길 24 (월계동,광운중학교)",127.0557228,37.6210568
"상명중학교","서울특별시 노원구 덕릉로 553 (중계동,상명중학교)",127.0679584,37.6493041
"선덕중학교","서울특별시 도봉구 시루봉로 53 , 선덕중학교 (쌍문동)",127.0269012,37.6564106
"염광중학교","서울특별시 노원구 월계로45가길 9 , 01874 (월계동)",127.0491809,37.6295827
"재현중학교","서울특별시 노원구 덕릉로82길 64 , 재현중.고등학교 (중계동)",127.0807395,37.6611696
"정의여자중학교","서울특별시 도봉구 노해로49길 69 (쌍문동)",127.0318063,37.6529105
"청원중학교","서울특별시 노원구 한글비석로 506 ,  청원중학교 (상계동)",127.0616772,37.6666244
"서울대학교사범대학부설여자중학교","서울특별시 종로구 대학로 64 (동숭동,서울사대부속여자중학교)",127.0038567,37.5774729
"금호여자중학교","서울특별시 중구 청구로 6 (신당동)",127.0200384,37.5578679
"덕수중학교","서울특별시 중구 마른내로9길 10 (인현동2가)",126.9972964,37.5653267
"선린중학교","서울특별시 용산구 원효로97길 33-4 (청파동3가)",126.9663628,37.5427169
"용강중학교","서울특별시 용산구 이촌로65가길 91 , 용강중학교 (이촌동)",126.9762488,37.5210403
"용산중학교","서울특별시 용산구 두텁바위로 74 , 용산중학교 (용산동2가)",126.9809698,37.5458985
"장원중학교","서울특별시 중구 동호로15길 93-34 , 장원중학교 (신당동)",127.0063639,37.5537683
"창덕여자중학교","서울특별시 중구 정동길 22 (정동)",126.9695822,37.5664694
"청운중학교","서울특별시 종로구 창의문로 51 , 청운중학교 (청운동)",126.9709696,37.5888097
"한강중학교","서울특별시 용산구 녹사평대로 73 (서빙고동)",126.9923454,37.523952
"경신중학교","서울특별시 종로구 혜화로 74 , 경신중학교 (혜화동)",127.0011888,37.5914766
"대경중학교","서울특별시 중구 매봉18길 111 (신당동)",127.0170724,37.5563646
"대신중학교","서울특별시 종로구 사직로 9 (행촌동)대신중학교",126.9617209,37.573367
"덕성여자중학교","서울특별시 종로구 율곡로3길 49 , 덕성여자중학교 (송현동)",126.9819868,37.5777826
"동성중학교","서울특별시 종로구 대학로 156 동성중학교 (혜화동90-7)",127.0021611,37.5857551
"배문중학교","서울특별시 용산구 효창원로 258 , 배문중학교 (서계동)",126.9644427,37.549864
"배화여자중학교","서울특별시 종로구 필운대로1길 34 배화여자중학교",126.9653816,37.5793895
"보성여자중학교","서울특별시 용산구 신흥로3가길 66 , 보성여자중고등학교 (용산동2가)",126.9844961,37.5426751
"상명대학교사범대학부속여자중학교","서울특별시 종로구 홍지문2길 20 , 상명대학교사범대학부속여자중학교 (홍지동)",126.9540384,37.6027418
"성심여자중학교","서울특별시 용산구 원효로19길 49 (원효로4가)",126.9542291,37.5341025
"신광여자중학교","서울특별시 용산구 청파로 263 학교법인신광학원 (청파동3가)",126.9648311,37.5463644
"오산중학교","서울특별시 용산구 보광로7길 17 , 오산중학교 (보광동)",126.999489,37.5239585
"장충중학교","서울특별시 중구 동호로15길 93 , 장충중학교 (신당동)",127.006215,37.5531032
"중앙중학교","서울특별시 종로구 창덕궁길 164 중앙중학교 (계동)",126.9867737,37.5860881
"한양중학교","서울특별시 중구 을지로 299 , 한양중학교 (신당동)",127.0117791,37.5653567
"환일중학교","서울특별시 중구 환일길 47 (만리동2가)",126.9621659,37.5538139
"가락중학교","서울특별시 송파구 송이로 45 , 가락중학교 (송파동)",127.1183396,37.5021391
"가원중학교","서울특별시 송파구 중대로10길 40-18 (가락동,가원중학교)",127.1229298,37.4909355
"강동중학교","서울특별시 강동구 풍산로 237 , 강동중학교 (강일동)",127.1778075,37.5696449
"강명중학교","서울특별시 강동구 상일로12길 56 , 강명중학교 (강일동)",127.1747732,37.5550568
"강일중학교","서울특별시 강동구 고덕로27길 12 , 강일중학교 (암사동414-17)",127.1383328,37.5552892
"거원중학교","서울특별시 송파구 양산로2길 30 , 거원중학교 (거여동)",127.1465348,37.4874894
"고덕중학교","서울특별시 강동구 동남로82길 94 (고덕동)",127.1610289,37.5601307
"둔촌중학교","서울특별시 강동구 진황도로61길 25-30 , 둔촌중학교 (둔촌동)",127.1463341,37.5306477
"명일중학교","서울특별시 강동구 양재대로156길 57 (고덕동)",127.1477463,37.557063
"문정중학교","서울특별시 송파구 문정로 73 (문정동)",127.1299473,37.4885685
"문현중학교","서울특별시 송파구 충민로 99 (장지동)",127.1279339,37.4805468
"방산중학교","서울특별시 송파구 오금로29길 31 (방이동)",127.1219039,37.5091513
"방이중학교","서울특별시 송파구 오금로11길 64 (방이동)",127.1082361,37.5142935
"서울체육중학교","서울특별시 송파구 강동대로 232 , 서울체육중.고등학교 (방이동)",127.1298523,37.5217289
"석촌중학교","서울특별시 송파구 송이로15길 13 (가락동)",127.1212477,37.5011612
"성내중학교","서울특별시 강동구 성안로7길 36 성내중학교 (성내동)",127.1295392,37.5286533
"세륜중학교","서울특별시 송파구 양재대로72길 41 , 세륜중학교 (오금동)",127.131471,37.508415
"송례중학교","서울특별시 송파구 위례순환로 429 (장지동)",127.1396227,37.4777414
"송파중학교","서울특별시 송파구 동남로 203 (가락동, 송파중학교)",127.1298624,37.4959229
"신명중학교","서울특별시 강동구 명일로24길 25 , 신명중학교 (길동)",127.149426,37.541624
"신암중학교","서울특별시 강동구 고덕로 65 , 신암중학교 (암사동)",127.1330624,37.555955
"신천중학교","서울특별시 송파구 백제고분로 11 (잠실동)",127.0816428,37.5075289
"아주중학교","서울특별시 송파구 올림픽로4길 69 , 아주중학교 (잠실동)",127.0763506,37.5050719
"오금중학교","서울특별시 송파구 오금로35길 20 , (오금중학교) (오금동)",127.1285746,37.5049964
"오륜중학교","서울특별시 송파구 양재대로 1242 , 오륜중학교 (방이동)",127.1387369,37.5160087
"오주중학교","서울특별시 송파구 동남로 281 , 오주중학교 (오금동)",127.1361736,37.5011862
"잠신중학교","서울특별시 송파구 잠실로 12 , 잠신중학교 (잠실동)",127.0877838,37.5157394
"잠실중학교","서울특별시 송파구 올림픽로35길 130 , 잠실중학교 (신천동)",127.0993758,37.5172097
"천일중학교","서울특별시 강동구 천중로 57 , 천일중학교 (천호동)",127.1275774,37.5458911
"천호중학교","서울 강동구 상암로 153 (천호동,천호중학교)",127.13927,37.5466448
