"학교명","주소","lon","lat"
"성신여자고등학교","서울특별시 성북구 동소문로26가길 80 (돈암동,성신여자고등학교)",127.0224265,37.5941709
"성심여자고등학교","서울특별시 용산구 원효로19길 49 , 성심여자고등학교 (원효로4가)",126.9537234,37.5342782
"세화고등학교","서울특별시 서초구 신반포로 56-7 , 세화고등학교 (반포동)",126.9932495,37.5021638
"세화여자고등학교","서울특별시 서초구 신반포로 56-7 , 세화여자고등학교",126.9932495,37.5021638
"송곡고등학교","서울특별시 중랑구 양원역로 50 (망우동)",127.1068868,37.6053695
"송곡여자고등학교","서울특별시 중랑구 양원역로 67 , 송곡여자고등학교 (망우동)",127.1054736,37.6063287
"숙명여자고등학교","서울특별시 강남구 남부순환로 2807 (도곡동)(숙명여자고등학교)",127.0536862,37.4905422
"숭문고등학교","서울특별시 마포구 숭문길 99 (숭문중고등학교, 대흥동)",126.9451307,37.5515272
"숭실고등학교","서울특별시 은평구 은평터널로7길 6 , 숭실고등학교 (신사동)",126.9026065,37.59326
"숭의여자고등학교","서울특별시 동작구 여의대방로36길 79 , 숭의여자고등학교 (대방동)",126.9288374,37.5076638
"신광여자고등학교","서울특별시 용산구 청파로 263 , 학교법인신광학원 (청파동3가)",126.9648311,37.5463644
"신일고등학교","서울특별시 강북구 솔매로49길 20 (미아동)",127.0282661,37.6282824
"양정고등학교","서울특별시 양천구 안양천로 1039 (목동,양정고등학교)",126.8869526,37.5348353
"양천고등학교","서울특별시 양천구 신정로14길 13 , 양천고등학교 (신정동)",126.8458174,37.5087062
"염광고등학교","서울특별시 노원구 월계로45가길 9 , 염광고등학교 (월계동)",127.0495164,37.6283619
"영동고등학교","서울특별시 강남구 선릉로 742 (청담동)",127.0433256,37.5202083
"영동일고등학교","서울특별시 송파구 석촌호수로 93 (잠실동)영동일고등학교",127.0895484,37.5100795
"영락고등학교","서울특별시 관악구 청룡16길 25 , 영락고등학교 (봉천동)",126.944238,37.4763208
"영신여자고등학교","서울특별시 노원구 중계로16나길 13 , 영신여자고등학교 (중계동)",127.0831235,37.652304
"영일고등학교","서울특별시 강서구 등촌로51가길 26 , 영일고등학교 (등촌동)",126.8617592,37.5478406
"영파여자고등학교","서울특별시 송파구 올림픽로 565 , 영파여자고등학교 (풍납동,영파여자고등학교)",127.1201244,37.5322559
"영훈고등학교","서울특별시 강북구 도봉로13가길 19 (미아동, 학교법인 영훈학원)",127.0278474,37.6136052
"예일여자고등학교","서울특별시 은평구 연서로 117 , 예일여자고등학교 (구산동)",126.9153633,37.6107227
"오류고등학교","서울특별시 구로구 오리로21길 2 (궁동,오류고등학교)",126.8282089,37.5001755
"오산고등학교","서울특별시 용산구 보광로7길 17 , 오산고등학교 (보광동)",126.999566,37.5235246
"용문고등학교","서울특별시 성북구 인촌로17가길 46 (안암동2가)",127.0250507,37.5881284
"용화여자고등학교","서울특별시 노원구 동일로 1461 , 용화여자고등학교 (상계동)",127.0585428,37.6586224
"우신고등학교","서울특별시 구로구 부일로 917 (궁동)",126.8268765,37.4951383
"은광여자고등학교","서울특별시 강남구 남부순환로359길 36 (도곡동)",127.0359252,37.4879414
"이화여자고등학교","서울특별시 중구 정동길 26 , 이화여자고등학교 (정동,심슨기념관)",126.9712202,37.5657014
"이화여자대학교사범대학부속이화금란고등학교","서울특별시 서대문구 성산로 560 (대신동)",126.9467504,37.5650344
"이화여자외국어고등학교","서울특별시 중구 통일로4길 30 , 이화여자외국어고등학교 (순화동)",126.9689444,37.5657515
"인창고등학교","서울특별시 서대문구 경기대로 65 , 인창고등학교 (충정로2가)",126.9634777,37.5654059
"잠실여자고등학교","서울특별시 송파구 송파대로38길 8 , 잠실여자고등학교 (송파동)",127.113014,37.5022547
"장충고등학교","서울특별시 중구 동호로15길 93 장충고등학교",127.0063195,37.5532568
"장훈고등학교","서울특별시 영등포구 영등포로64길 26 , 장훈고등학교 (신길동)",126.9151301,37.5130688
"재현고등학교","서울특별시 노원구 덕릉로82길 64 , 재현중.고등학교 (중계동)",127.0807395,37.6611696
"정신여자고등학교","서울특별시 송파구 올림픽로4길 16 (잠실동) 정신여자중고등학교",127.0718787,37.5087102
"정의여자고등학교","서울특별시 도봉구 노해로49길 69 (쌍문동)",127.0318063,37.6529105
"중동고등학교","서울특별시 강남구 일원로 7 , 중동고등학교 (일원동)",127.0800728,37.4933789
"중산고등학교","서울특별시 강남구 일원로14길 22 , 중산고등학교 (일원동)",127.0804896,37.4856576
"중앙고등학교","서울특별시 종로구 창덕궁길 164 , 중앙고등학교 (계동)",126.9868797,37.5835049
"중앙대학교사범대학부속고등학교","서울특별시 강남구 선릉로 207 , 중앙대학교사범대학부속고등학교 (도곡동)",127.0522287,37.4918916
"중앙여자고등학교","서울특별시 서대문구 북아현로11가길 7 (북아현동)",126.9531684,37.5628641
"진명여자고등학교","서울특별시 양천구 목동로 170 , 진명여자고등학교 (목동)",126.8659261,37.5233992
"진선여자고등학교","서울특별시 강남구 선릉로85길 27 , 진선여자고등학교 (역삼동)",127.0469656,37.5018196
"창문여자고등학교","서울특별시 강북구 월계로 61 (미아동)",127.0362812,37.6131144
"청원고등학교","서울특별시 노원구 한글비석로 506 (상계동)",127.0620129,37.6660284
"청원여자고등학교","서울특별시 노원구 한글비석로 506 , 청원여자고등학교 (상계동)",127.0612651,37.6661276
"충암고등학교","서울특별시 은평구 가좌로5길 5 , 충암고등학교 (응암동)",126.9215039,37.5847439
"풍문여자고등학교","서울특별시 종로구 율곡로3길 4 (안국동)",126.9824909,37.5782452
"하나고등학교","서울특별시 은평구 연서로 535 , 하나고등학교 (진관동)",126.9371942,37.641704
"한가람고등학교","서울특별시 양천구 목동서로 15 한가람고등학교 (목동)",126.883869,37.5375573
"한광고등학교","서울특별시 강서구 등촌로13길 110 , 한광고등학교 (화곡동)",126.8578799,37.5388666
"한국삼육고등학교","서울특별시 노원구 화랑로 815 , 한국삼육고등학교 (공릉동)",127.1062512,37.6431424
"한서고등학교","서울 강서구 양천로11길 47 (방화동,한서고등학교)",126.8082637,37.5745863
