"address","Apart","gu","dong","long","lat","distance","place","code","lon","lat"
"강동대로53길 21","광남벨라스타워","강동구","성내동",127.1316093,37.52382382,155.545963880913,"오륜교회앞","25188",127.1320753742,37.5224763077
"강변역로4길 56","광진해모로리버뷰","광진구","구의동",127.0922587,37.53338193,129.442578995289,"동서울호텔앞","05585",127.0920685648,37.5345349158
"강서로 130","한솔스위트벨리","강서구","화곡동",126.8426578,37.5387982,216.618003000218,"화원중학교","16202",126.840433,37.537977
"강서로 266","우장산아이파크,이편한세상","강서구","화곡동",126.83659,37.54937841,17.1220281679673,"우장산역","16213",126.8365028309,37.549241001
"강서로 348","우장산힐스테이트","강서구","내발산동",126.837984,37.55658669,48.4447741953687,"발산역.우장산힐스테이트","16218",126.8374835698,37.5567655856
"강서로 490","일신건영휴먼빌","강서구","가양동",126.8416101,37.56904518,8.16691974234689,"양천향교역.휴먼빌아파트","16225",126.841569795,37.5689791361
"강서로 532","동신대아","강서구","가양동",126.8427143,37.57265934,257.203933343656,"가양한강타운아파트","16227",126.8432785021,37.5703925254
"강서로10길 143","계명(849-7)","강서구","화곡동",126.8557657,37.53101428,57.4887387872272,"LG주유소","16722",126.8562523837,37.5313574156
"강서로12길 8","근상프리즘(342-35)","강서구","화곡동",126.8476716,37.53137172,61.286806223719,"까치산역2번출구","16191",126.8470145299,37.5315494585
"강서로17가길 16","계명(350-33)","강서구","화곡동",126.8445009,37.53372267,140.893547056185,"까치시장","16571",126.8460803531,37.5335405699
"강서로17가길 46","중앙화곡하이츠","강서구","화곡동",126.8437329,37.5349059,256.984855381417,"까치시장","16571",126.8460803531,37.5335405699
"강서로17라길 3","화곡동복지","강서구","화곡동",126.8407185,37.5325865,28.1132534214047,"화곡동백구사","16194",126.8407081988,37.5323340865
"강서로29길 34","대한아파트","강서구","화곡동",126.8399509,37.53920201,48.3760420207276,"신월초등학교","16204",126.8394911995,37.5389654088
"강서로33가길 86","프라임팰리스(1024-23)","강서구","화곡동",126.8362744,37.54503961,108.121220813734,"대원시장","16210",126.8373132333,37.5445248902
"강서로37길 78","수산동우","강서구","화곡동",126.8331447,37.54347831,253.782270428447,"푸르지오APT","16890",126.8311221371,37.5418579682
"강서로43길 17","신일골드빌","강서구","화곡동",126.8352188,37.5469359,85.0116533683862,"화곡중고등학교","16211",126.8361316002,37.5471796836
"강서로43길 28","타워빌","강서구","화곡동",126.8346096,37.54718889,98.4384876404901,"송화시장","16943",126.8353186306,37.5478714943
"강서로45길 104","유니드","강서구","내발산동",126.8319537,37.54990405,32.5170110443113,"발산초등학교","16939",126.8318357277,37.5496273238
"강서로45길 138","태승훼미리3차","강서구","내발산동",126.8312254,37.55130641,26.6355042117255,"현대슈퍼","16937",126.8310797888,37.5510968302
"강서로45길 18","태승훼미리","강서구","내발산동",126.8351483,37.54820502,26.4234473045491,"송화시장","16718",126.8352516144,37.5479822354
"강서로45나길 11","다울아크로빌","강서구","내발산동",126.8346556,37.54858361,85.1393507819387,"송화시장","16718",126.8352516144,37.5479822354
"강서로45나길 15","수산오성","강서구","내발산동",126.8354669,37.54870518,82.6904462784211,"송화시장","16718",126.8352516144,37.5479822354
"강서로45다길 12","신세계아파트1","강서구","화곡동",126.8345387,37.54749327,80.6915933524264,"송화시장","16943",126.8353186306,37.5478714943
"강서로45다길 30","초록","강서구","화곡동",126.8348037,37.5466552,130.938306239495,"화곡중고등학교","16211",126.8361316002,37.5471796836
"강서로45다길 30","희훈리치파크","강서구","화곡동",126.8348037,37.5466552,130.938306239495,"화곡중고등학교","16211",126.8361316002,37.5471796836
"강서로45다길 45","우림루미아트아파트","강서구","화곡동",126.8350926,37.54588263,171.047100851245,"화곡중고등학교","16211",126.8361316002,37.5471796836
"강서로45라길 15","광성금강","강서구","내발산동",126.8337748,37.54861538,91.0761020591639,"화곡중.고등학교","16729",126.8331216837,37.5479819479
"강서로46길 60","청솔숲속마을 101동","강서구","내발산동",126.8394149,37.55132267,305.857772624019,"명덕고등학교.웰튼병원","16916",126.8366192355,37.5529464603
"강서로46길 78","청솔숲속마을 102동","강서구","내발산동",126.8399076,37.55196376,272.766820114946,"롯데2차","16950",126.8404847373,37.5543709679
"강서로46길 79","길성그랑프리텔","강서구","내발산동",126.8397261,37.55220016,250.756492318805,"롯데2차","16950",126.8404847373,37.5543709679
"강서로47길 108","마곡수명산파크1단지","강서구","내발산동",126.8301947,37.553502,33.909981186701,"수명산파크1단지","16867",126.8298250178,37.5534189491
"강서로47길 158","마곡수명산파크2단지","강서구","내발산동",126.8273743,37.55378514,46.7077819606819,"마곡.수명산파크2단지","16873",126.8278597199,37.5536179453
"강서로47길 39","상산노블레스빌","강서구","내발산동",126.8339435,37.55276114,218.332843293661,"명덕고등학교.웰튼병원","16973",126.8363504094,37.5532146139
"강서로47길 61","신세계","강서구","내발산동",126.8329793,37.55254773,200.156010910373,"현대슈퍼","16861",126.8308140121,37.552012862
"강서로47길 80","보람","강서구","내발산동",126.8317307,37.55314661,149.91155767054,"현대슈퍼","16861",126.8308140121,37.552012862
"강서로47나길 39","낙원연립재건축조합아파트","강서구","내발산동",126.834789,37.55096899,171.628147873159,"우장산역","16974",126.8361381846,37.5498586461
"강서로47다길 10","신세계(697-5)","강서구","내발산동",126.8341532,37.55236827,215.587058178232,"명덕고등학교.웰튼병원","16973",126.8363504094,37.5532146139
"강서로47다길 10","한서3차","강서구","내발산동",126.8341532,37.55236827,215.587058178232,"명덕고등학교.웰튼병원","16973",126.8363504094,37.5532146139
"강서로47다길 28","한울앤하우스","강서구","내발산동",126.8340424,37.55154054,246.312176418124,"발산초등학교","16820",126.8314177559,37.550788238
"강서로47라길 22","내츄럴3차","강서구","내발산동",126.8322512,37.55209514,127.167972721359,"현대슈퍼","16861",126.8308140121,37.552012862
"강서로47라길 79","그린씨티","강서구","내발산동",126.8331527,37.54967598,98.4889417976148,"덕원여자고등학교.덕원예술고등학교","16812",126.8321738366,37.5492511475
"강서로47마길 15","수명산태송팰리채","강서구","내발산동",126.8313075,37.55253009,72.1939676315155,"현대슈퍼","16861",126.8308140121,37.552012862
"강서로47마길 71","청솔수(711-6)","강서구","내발산동",126.8325473,37.55016335,86.6284696978727,"발산초등학교","16939",126.8318357277,37.5496273238
"강서로48길 25","덕현중앙타워빌","강서구","내발산동",126.8379971,37.55265064,125.737166231506,"명덕고등학교.웰튼병원","16215",126.8367014782,37.5531204851
