"addr","lon","lat"
"서울특별시 강남구 청담동 108",127.0525508,37.5275013
"서울특별시 강남구 청담동 122-35",127.0496177,37.5263893
"서울특별시 강남구 청담동 14",127.0453486,37.5212802
"서울특별시 강남구 청담동 28-20",127.0469381,37.5205658
"서울특별시 강남구 청담동 46-5",127.049021,37.5190274
"서울특별시 강남구 청담동 30-33",127.0477525,37.5206607
"서울특별시 강남구 청담동 101-1",127.0461082,37.5278126
"서울특별시 강남구 청담동 33",127.0478395,37.5194234
"서울특별시 강남구 청담동 134-15",127.0591658,37.5232742
"서울특별시 강남구 청담동 34-13",127.0469416,37.5195774
"서울특별시 강남구 청담동 130",127.0553009,37.5250995
"서울특별시 강남구 청담동 43",127.0440031,37.5179462
"서울특별시 강남구 청담동 134-38",127.0574077,37.5235476
"서울특별시 강남구 청담동 102-13",127.0470403,37.5286274
"서울특별시 강남구 청담동 46-12",127.0486969,37.5189861
"서울특별시 강남구 청담동 127-31",127.052836,37.5268675
"서울특별시 강남구 청담동 35-47",127.045544,37.5192625
"서울특별시 강남구 청담동 35-48",127.0453299,37.51884
"서울특별시 강남구 청담동 23",127.0406181,37.5215094
"서울특별시 강남구 청담동 5-25",127.0460427,37.5236312
"서울특별시 강동구 강일동 695",127.1806821,37.5599813
"서울특별시 강동구 강일동 665",127.1718764,37.5676238
"서울특별시 강동구 강일동 668",127.1762261,37.5693167
"서울특별시 강동구 강일동 674",127.1746289,37.5666483
"서울특별시 강동구 강일동 673",127.176331,37.5670963
"서울특별시 강동구 강일동 670",127.1780664,37.5674967
"서울특별시 강동구 강일동 684",127.1764433,37.5637821
"서울특별시 강동구 강일동 686",127.1788562,37.5647396
"서울특별시 강동구 강일동 701",127.1769626,37.5615385
"서울특별시 강동구 강일동 707",127.171693,37.5609818
"서울특별시 강동구 강일동 717",127.1729651,37.5593589
"서울특별시 강동구 고덕동 499",127.1551489,37.5589219
"서울특별시 강동구 고덕동 312",127.1522909,37.5563298
"서울특별시 강동구 고덕동 220",127.1618832,37.5590402
"서울특별시 강동구 고덕동 486",127.1459139,37.5578508
"서울특별시 강동구 고덕동 212",127.1668534,37.5577057
"서울특별시 강동구 길동 474",127.1490709,37.5375197
"서울특별시 강동구 길동 457-1",127.1371959,37.5350296
"서울특별시 강동구 길동 445-1",127.134836,37.535489
"서울특별시 강동구 길동 414-4",127.1374702,37.536457
"서울특별시 강동구 길동 415-13",127.1361523,37.5366267
"서울특별시 강동구 길동 414-10",127.1374603,37.536047
"서울특별시 강동구 길동 380-18",127.1385432,37.5384976
"서울특별시 강동구 길동 247",127.139943,37.5347433
"서울특별시 강동구 길동 389-9",127.1393318,37.537615
"서울특별시 강동구 길동 146-1",127.1449732,37.5361701
"서울특별시 강동구 길동 400",127.1439565,37.5373062
"서울특별시 강동구 길동 348-4",127.1415854,37.5404165
"서울특별시 강동구 길동 349-1",127.1424365,37.5406038
"서울특별시 강동구 길동 416-3",127.1356821,37.5373738
"서울특별시 강동구 길동 344-5",127.1446926,37.5410166
"서울특별시 강동구 길동 365-1",127.1417922,37.5389619
"서울특별시 강동구 길동 184",127.148631,37.5381933
"서울특별시 강동구 길동 53",127.1485231,37.5433988
"서울특별시 강동구 길동 160",127.1494478,37.5396021
"서울특별시 강동구 길동 43",127.1482293,37.5413756
"서울특별시 강동구 길동 92",127.1474294,37.5411617
"서울특별시 강동구 길동 414-6",127.1379611,37.5369661
"서울특별시 강동구 길동 384-4",127.1361545,37.5382045
"서울특별시 강동구 길동 384-5",127.1360505,37.5380019
"서울특별시 강동구 길동 242-6",127.140826,37.5351002
"서울특별시 강동구 길동 45",127.148452,37.5420863
"서울특별시 강동구 길동 382-6",127.1373221,37.5388104
"서울특별시 강동구 길동 320-9",127.14297,37.5443137
"서울특별시 강동구 길동 385-4",127.1365716,37.5378543
"서울특별시 강동구 길동 415-16",127.1362663,37.5363563
"서울특별시 강동구 길동 103-5",127.1457675,37.5386483
"서울특별시 강동구 길동 456-2",127.1373813,37.5353382
"서울특별시 강동구 길동 384-1",127.1363009,37.5384632
"서울특별시 강동구 길동 415-11",127.1363899,37.5372159
"서울특별시 강동구 길동 332",127.1439498,37.5433387
"서울특별시 강동구 길동 470",127.1472302,37.5365973
"서울특별시 강동구 길동 343-1",127.145457,37.5411636
"서울특별시 강동구 길동 343-2",127.1459722,37.5411385
"서울특별시 강동구 길동 472",127.1396027,37.5393469
"서울특별시 강동구 둔촌동 67",127.1412792,37.5330761
"서울특별시 강동구 둔촌동 518-1",127.1382223,37.5288198
"서울특별시 강동구 둔촌동 61-12",127.1430414,37.5329357
"서울특별시 강동구 둔촌동 170-1",127.1388295,37.5268861
"서울특별시 강동구 둔촌동 174-1",127.1376533,37.5225272
"서울특별시 강동구 둔촌동 630",127.146446,37.5341192
"서울특별시 강동구 둔촌동 545",127.1424367,37.5293172
"서울특별시 강동구 둔촌동 544",127.1394113,37.5292276
"서울특별시 강동구 둔촌동 613",127.147885,37.5328482
"서울특별시 강동구 둔촌동 426",127.1406034,37.5334028
"서울특별시 강동구 둔촌동 555",127.1417805,37.5291205
"서울특별시 강동구 둔촌동 546",127.1427122,37.5278875
"서울특별시 강동구 둔촌동 134-10",127.1437884,37.5272708
"서울특별시 강동구 둔촌동 46-20",127.144424,37.5324367
"서울특별시 강동구 둔촌동 90",127.1433633,37.5316937
"서울특별시 강동구 둔촌동 621",127.145595,37.5332363
"서울특별시 강동구 둔촌동 603",127.1481916,37.5355401
"서울특별시 강동구 둔촌동 30-4",127.1465296,37.5318428
"서울특별시 강동구 둔촌동 70-5",127.1404592,37.5294029
"서울특별시 강동구 둔촌동 135-1",127.1450857,37.5272054
"서울특별시 강동구 둔촌동 89",127.1435276,37.5295973
"서울특별시 강동구 명일동 257",127.1508034,37.5477835
"서울특별시 강동구 명일동 346-10",127.1439103,37.5459037
"서울특별시 강동구 명일동 358",127.1407932,37.5510792
"서울특별시 강동구 명일동 332",127.1462428,37.5488625
"서울특별시 강동구 명일동 42",127.1518548,37.5512718
"서울특별시 강동구 명일동 47-12",127.1547657,37.553266
"서울특별시 강동구 명일동 270",127.1475845,37.547216
"서울특별시 강동구 명일동 38",127.1506075,37.5519837
"서울특별시 강동구 명일동 294",127.1452846,37.5526021
"서울특별시 강동구 명일동 15",127.1484932,37.5521991
"서울특별시 강동구 명일동 47",127.1538145,37.5537151
"서울특별시 강동구 명일동 44",127.1520017,37.5538859
"서울특별시 강동구 명일동 357",127.1457558,37.5452295
"서울특별시 강동구 명일동 355",127.1443392,37.5454049
"서울특별시 강동구 명일동 54",127.1551501,37.5503962
"서울특별시 강동구 명일동 56",127.1535795,37.5503714
"서울특별시 강동구 명일동 251-1",127.1487967,37.5483935
"서울특별시 강동구 상일동 490",127.1752562,37.5525612
"서울특별시 강동구 상일동 473",127.1675395,37.5459816
"서울특별시 강동구 상일동 121",127.1686842,37.5551975
"서울특별시 강동구 상일동 131",127.1669847,37.5520084
"서울특별시 강동구 상일동 124",127.1706987,37.5522472
"서울특별시 강동구 상일동 187",127.167625,37.5492801
"서울특별시 강동구 상일동 476",127.1595919,37.550417
"서울특별시 강동구 성내동 596",127.1353713,37.5310633
"서울특별시 강동구 성내동 445-4",127.1314943,37.5238075
"서울특별시 강동구 성내동 407-2",127.1330981,37.5313728
"서울특별시 강동구 성내동 419-13",127.1329407,37.5287415
"서울특별시 강동구 성내동 424-12",127.1332903,37.528253
"서울특별시 강동구 성내동 456-8",127.1239382,37.5275875
"서울특별시 강동구 성내동 416-11",127.1350452,37.528347
"서울특별시 강동구 성내동 412",127.1346365,37.5297424
"서울특별시 강동구 성내동 419-1",127.133059,37.5293785
"서울특별시 강동구 성내동 459-9",127.1232146,37.5265775
"서울특별시 강동구 성내동 467-1",127.1276001,37.5250926
"서울특별시 강동구 성내동 382-1",127.1341071,37.5333535
"서울특별시 강동구 성내동 565",127.1265434,37.5271274
"서울특별시 강동구 성내동 598",127.1312918,37.5332725
"서울특별시 강동구 성내동 137",127.1266133,37.5342381
