"유치원명","설립","주소","lon","lat"
"서울청룡초등학교병설유치원","공립","서울특별시 관악구 관악로5길 61 (봉천동)",126.9512177,37.4756972
"서울경동유치원","공립","서울특별시 성동구 성수일로 34 (성수동1가,경동초등학교)",127.0504631,37.5429557
"서울경수초등학교병설유치원","공립","서울특별시 성동구 뚝섬로13길 22 , 경수초등학교 병설유치원 (성수동2가)",127.0582958,37.5403172
"서울구의초등학교병설유치원","공립","서울특별시 광진구 광나루로30길 49 , 서울구의초등학교병설유치원 (화양동)",127.0795436,37.5428173
"서울동명초등학교병설유치원","공립","서울특별시 성동구 마장로29길 29 , 서울동명초등학교병설유치원 (마장동)",127.0357138,37.5688411
"서울마장초등학교병설유치원","공립","서울특별시 성동구 마장로35나길 31 , 서울마장초등학교 병설유치원 (마장동)",127.0425188,37.5678414
"서울사근초등학교병설유치원","공립","서울특별시 성동구 사근동11길 16 , 04761 (사근동)",127.0478174,37.5628932
"서울성수초등학교병설유치원","공립","서울특별시 성동구 아차산로17길 21 , 서울성수초등학교병설유치원 (성수동2가)",127.063378,37.544122
"서울송원초등학교병설유치원","공립","서울특별시 성동구 동일로43길 9 , 서울송원초등학교병설유치원 (송정동)",127.0696832,37.5540658
"서울숭신초등학교병설유치원","공립","서울특별시 성동구 마장로 161 서울숭신초등학교병설유치원",127.0277668,37.5677035
"서울신자초등학교병설유치원","공립","서울특별시 광진구 뚝섬로46길 64 (자양동)",127.0754494,37.530094
"서울양남초등학교병설유치원","공립","서울특별시 광진구 뚝섬로64길 71 , 서울양남초등학교병설유치원 (자양동)",127.0897096,37.5307356
"서울양진초등학교병설유치원","공립","서울특별시 광진구 워커힐로 32 , 서울양진초등학교병설유치원 (광장동)",127.0984306,37.5442619
"서울옥수초등학교병설유치원","공립","서울특별시 성동구 금호로1길 25 (금호동4가)",127.021758,37.5459839
"서울옥정초등학교병설유치원","공립","서울특별시 성동구 한림말길 43 , 서울옥정초등학교병설유치원 (옥수동)",127.0156888,37.5415941
"서울용답초등학교병설유치원","공립","서울특별시 성동구 용답25길 1 , 서울용답초등학교병설유치원 (용답동)",127.0533645,37.5607574
