"학교명","설립","주소","lon","lat"
"서울신학초등학교","공립","서울특별시 도봉구 방학로 247-21 (방학동)",127.0255131,37.6609904
"서울신화초등학교","공립","서울특별시 도봉구 우이천로 120 (창동,신화초등학교)",127.041239,37.632556
"서울쌍문초등학교","공립","서울특별시 도봉구 우이천로 360 (쌍문동)",127.0237865,37.6497746
"서울연지초등학교","공립","서울특별시 노원구 월계로55길 48 (월계동)",127.059984,37.6334788
"서울연촌초등학교","공립","서울특별시 노원구 공릉로58길 36 (하계동)",127.0728621,37.6350647
"서울오봉초등학교","공립","서울특별시 도봉구 시루봉로 285 (도봉동,서울오봉초등학교)",127.040433,37.671412
"서울온곡초등학교","공립","서울특별시 노원구 한글비석로52길 59 , 서울온곡초등학교 (상계동)",127.0661525,37.6673296
"서울용동초등학교","공립","서울특별시 노원구 한글비석로1길 81-11 (중계동,용동초등학교)",127.069431,37.641555
"서울용원초등학교","공립","서울특별시 노원구 섬밭로 144 , 서울용원초등학교 (공릉동)",127.06857,37.6296954
"서울원광초등학교","공립","서울특별시 노원구 덕릉로 76길 18 (중계동,원광초등학교)",127.0749048,37.6543527
"서울월계초등학교","공립","서울특별시 노원구 월계로45가길 10 서울월계초등학교",127.0506942,37.6277315
"서울월천초등학교","공립","서울특별시 도봉구 노해로70길 96 (창동,서울월천초등학교)",127.0518489,37.6477484
"서울을지초등학교","공립","서울특별시 노원구 중계로 239 (중계동)",127.0731299,37.6503519
"서울자운초등학교","공립","서울특별시 도봉구 마들로13길 166 (창동,자운초등학교)",127.046766,37.657803
"서울중계초등학교","공립","서울특별시 노원구 한글비석로19길 39 중계초등학교 (중계동)",127.073235,37.657386
"서울중원초등학교","공립","서울특별시 노원구 섬밭로 316 , 서울중원초등학교 (중계동)",127.062848,37.643471
"서울중평초등학교","공립","서울특별시 노원구 섬밭로 241 , 서울중평초등학교 (하계동)",127.0640123,37.6375724
"서울중현초등학교","공립","서울특별시 노원구 섬밭로 181 , , 서울중현초등학교 (하계동, 중현초등학교)",127.0663479,37.6324172
"서울창경초등학교","공립","서울특별시 도봉구 도봉로129길 54 (쌍문동,창경초등학교)",127.0349582,37.6565009
"서울창도초등학교","공립","서울특별시 도봉구 방학로 32-28 (방학동)",127.0490956,37.663831
"서울창동초등학교","공립","서울특별시 도봉구 해등로16길 81 (창동,창동초등학교)",127.0447938,37.6553307
"서울창림초등학교","공립","서울특별시 도봉구 덕릉로63길 46 (창동)",127.0415487,37.6429724
"서울창원초등학교","공립","서울특별시 도봉구 해등로 103 (창동)",127.040553,37.6525531
"서울창일초등학교","공립","서울특별시 도봉구 노해로66길 84 (창동)",127.0476797,37.6471695
"서울청계초등학교","공립","서울특별시 노원구 공릉로 431 , 서울청계초등학교 (중계동)",127.0662161,37.6447157
"서울초당초등학교","공립","서울특별시 도봉구 해등로32길 11 (방학동)",127.0221014,37.6584988
"서울태랑초등학교","공립","서울특별시 노원구 화랑로51나길 31 , 태랑초등학교 (공릉동)",127.0909013,37.6258074
"서울태릉초등학교","공립","서울특별시 노원구 노원로1길 36 (공릉동)",127.0852435,37.6228668
"서울한천초등학교","공립","서울특별시 노원구 마들로 45 (월계동)",127.069013,37.6204638
"동북초등학교","사립","서울특별시 도봉구 시루봉로 53 (쌍문동)",127.0268289,37.655351
"상명초등학교","사립","서울특별시 노원구 덕릉로 541 , 상명초등학교 (중계동)",127.0675064,37.6484038
"청원초등학교","사립","서울특별시 노원구 한글비석로 506 (상계동, 청원초등학교)",127.0613588,37.6656607
"태강삼육초등학교","사립","서울특별시 노원구 화랑로 815 , 태강삼육초등학교 (공릉동)",127.1104755,37.6418084
"한신초등학교","사립","서울특별시 도봉구 노해로49길 69 (쌍문동,한신초등학교)",127.0326562,37.652803
"화랑초등학교","사립","서울특별시 노원구 화랑로 621 , 서울여자대학교 (공릉동)",127.0904568,37.6281126
