"address","Apart","gu","dong","long","lat"
"통일로39길 107","월드뷰","서대문구","홍제동",126.9411449,37.58604903
"통일로39길 25","홍제맨션","서대문구","홍제동",126.9431209,37.5878461
"통일로48가길 15","반석블레스","서대문구","홍은동",126.9412262,37.59511645
"통일로48가길 37","풍림1차","서대문구","홍은동",126.9421904,37.59444711
"통일로57길 16","리베하임","은평구","녹번동",126.9329293,37.60443805
"통일로67길 15","제이타워4","은평구","대조동",126.927764,37.61040613
"통일로67길 8","(6-19)","은평구","대조동",126.9283108,37.61096513
"통일로67길 9","주주베에이","은평구","대조동",126.9283476,37.61080986
"통일로71가길 17","효원","은평구","대조동",126.9248135,37.61299212
"통일로72길 30","청나아파트","은평구","불광동",126.92513,37.6184523
"통일로77길 14","신세계드림빌2","은평구","대조동",126.9217099,37.61632271
"통일로78길 5","두진아이브(305-22)","은평구","불광동",126.9234253,37.61768076
"통일로82가길 1","정익제이원(4차)","은평구","불광동",126.9206528,37.62091266
"통일로82가길 2","삼흥아파트","은평구","불광동",126.9206371,37.62082643
"통일로82가길 4","제이타워","은평구","불광동",126.920899,37.62080444
"통일로82길 6","정익제이원5차","은평구","불광동",126.9206685,37.62031987
"통일로88길 3","대광월드","은평구","불광동",126.9204893,37.6242046
"통일로94길 31","남양구르미아파트","은평구","불광동",126.9217033,37.62730232
"퇴계로 195","하니맨션","중구","필동1가",126.9935887,37.56128465
"퇴계로 217","진양상가","중구","충무로4가",126.9959443,37.56191545
"퇴계로 235","남산센트럴 자이","중구","충무로4가",126.9978899,37.56233895
"퇴계로 447","황학아크로타워","중구","황학동",127.0214609,37.56580056
"퇴계로 72","남산 SK LEADERS VIEW","중구","회현동1가",126.9802122,37.55925534
"퇴계로90길 74","래미안하이베르","중구","신당동",127.0219985,37.56192674
"평창문화로 119","일성빌라트","종로구","평창동",126.9730657,37.60904595
"평창문화로 140","롯데낙천대","종로구","평창동",126.9756128,37.60961525
"평창문화로 142","엘리시아","종로구","평창동",126.9757363,37.60979942
"평창문화로 156","롯데캐슬 로잔","종로구","평창동",126.9770479,37.61023997
"평창문화로 171","삼성","종로구","평창동",126.978884,37.611107
"평창문화로 19","갑을","종로구","평창동",126.9637548,37.60450293
"포방터10길 33","극동","서대문구","홍은동",126.9511975,37.60221191
"포방터2길 59","동림","서대문구","홍은동",126.9509487,37.59688474
"포은로 147","성신","마포구","망원동",126.9027538,37.55980031
"포은로6길 33","시티","마포구","망원동",126.9067877,37.55613655
"포은로6길 34","태청","마포구","망원동",126.9068265,37.55593037
"포은로8길 8","대상4","마포구","망원동",126.9051763,37.55630585
